SaleID,DrugID,CustomerID,UnitsSold,SaleDate,BuyerType
109,36,115,42,18-04-2020,Seller
110,16,152,40,19-04-2020,Seller
111,3,189,9,20-04-2020,User
112,18,103,33,21-04-2020,Seller
113,15,109,66,22-04-2020,Seller
114,19,95,76,23-04-2020,Seller
115,22,119,5,24-04-2020,User
116,37,159,96,25-04-2020,Seller
117,9,171,17,26-04-2020,Seller
118,1,86,66,27-04-2020,Seller
119,29,2,6,28-04-2020,User
120,35,147,5,29-04-2020,User
121,6,198,29,30-04-2020,Seller
122,33,2,99,01-05-2020,Seller
123,33,13,57,02-05-2020,Seller
124,28,97,6,03-05-2020,User
125,39,199,98,04-05-2020,Seller
126,24,125,4,05-05-2020,User
127,13,180,8,06-05-2020,User
128,34,28,52,07-05-2020,Seller
129,31,35,23,08-05-2020,Seller
130,17,131,7,09-05-2020,User
131,38,193,13,10-05-2020,Seller
132,24,2,67,11-05-2020,Seller
133,15,89,43,12-05-2020,Seller
134,3,179,39,13-05-2020,Seller
135,40,115,95,14-05-2020,Seller
136,35,11,3,15-05-2020,User
137,33,167,7,16-05-2020,User
138,39,164,9,17-05-2020,User
139,14,113,2,18-05-2020,User
140,40,185,87,19-05-2020,Seller
141,13,35,6,20-05-2020,User
142,1,187,24,21-05-2020,Seller
143,37,191,39,22-05-2020,Seller
144,33,43,8,23-05-2020,User
145,11,140,7,24-05-2020,User
146,40,149,5,25-05-2020,User
147,32,189,4,26-05-2020,User
148,3,19,9,27-05-2020,User
149,32,127,36,28-05-2020,Seller
150,27,177,5,29-05-2020,User
151,8,49,65,30-05-2020,Seller
152,40,169,81,31-05-2020,Seller
153,5,185,94,01-06-2020,Seller
154,19,109,7,02-06-2020,User
155,17,123,12,03-06-2020,Seller
156,13,67,49,04-06-2020,Seller
157,18,22,4,05-06-2020,User
158,25,89,22,06-06-2020,Seller
159,28,37,1,07-06-2020,User
160,9,186,33,08-06-2020,Seller
161,7,48,6,09-06-2020,User
162,5,152,8,10-06-2020,User
163,28,82,1,11-06-2020,User
164,4,64,45,12-06-2020,Seller
165,4,172,20,13-06-2020,Seller
166,14,122,2,14-06-2020,User
167,17,129,1,15-06-2020,User
168,17,126,92,16-06-2020,Seller
169,19,10,5,17-06-2020,User
170,22,184,4,18-06-2020,User
171,30,121,87,19-06-2020,Seller
172,32,8,67,20-06-2020,Seller
173,30,49,77,21-06-2020,Seller
174,24,118,46,22-06-2020,Seller
175,10,19,13,23-06-2020,Seller
176,1,171,4,24-06-2020,User
177,26,99,8,25-06-2020,User
178,33,137,7,26-06-2020,User
179,26,144,5,27-06-2020,User
180,6,169,9,28-06-2020,User
181,31,29,9,29-06-2020,User
182,26,14,2,30-06-2020,User
183,29,98,2,01-07-2020,User
184,18,20,6,02-07-2020,User
185,28,190,69,03-07-2020,Seller
186,34,87,1,04-07-2020,User
187,28,56,5,05-07-2020,User
188,26,196,96,06-07-2020,Seller
189,38,139,4,07-07-2020,User
190,27,38,3,08-07-2020,User
191,22,95,90,09-07-2020,Seller
192,40,155,37,10-07-2020,Seller
193,5,82,57,11-07-2020,Seller
194,10,178,76,12-07-2020,Seller
195,33,106,21,13-07-2020,Seller
196,28,182,92,14-07-2020,Seller
197,27,167,9,15-07-2020,User
198,23,138,9,16-07-2020,User
199,29,158,1,17-07-2020,User
200,12,48,9,18-07-2020,User
201,13,62,8,19-07-2020,User
202,14,80,2,20-07-2020,User
203,1,50,57,21-07-2020,Seller
204,9,52,7,22-07-2020,User
205,28,184,60,23-07-2020,Seller
206,25,96,91,24-07-2020,Seller
207,1,9,4,25-07-2020,User
208,38,38,99,26-07-2020,Seller
209,27,58,79,27-07-2020,Seller
210,21,75,95,28-07-2020,Seller
211,19,78,3,29-07-2020,User
212,3,26,2,30-07-2020,User
213,17,195,48,31-07-2020,Seller
214,36,33,3,01-08-2020,User
215,35,80,6,02-08-2020,User
216,20,129,59,03-08-2020,Seller
217,40,77,5,04-08-2020,User
218,23,131,93,05-08-2020,Seller
219,6,156,4,06-08-2020,User
220,37,124,2,07-08-2020,User
221,12,138,95,08-08-2020,Seller
222,10,186,14,09-08-2020,Seller
223,33,117,61,10-08-2020,Seller
224,39,143,4,11-08-2020,User
225,24,68,81,12-08-2020,Seller
226,5,175,9,13-08-2020,User
227,2,35,5,14-08-2020,User
228,12,59,4,15-08-2020,User
229,37,145,3,16-08-2020,User
230,38,17,67,17-08-2020,Seller
231,32,47,35,18-08-2020,Seller
232,16,113,22,19-08-2020,Seller
233,27,30,71,20-08-2020,Seller
234,19,176,6,21-08-2020,User
235,31,176,45,22-08-2020,Seller
236,15,124,62,23-08-2020,Seller
237,11,166,2,24-08-2020,User
238,10,170,91,25-08-2020,Seller
239,23,4,66,26-08-2020,Seller
240,35,97,39,27-08-2020,Seller
241,13,79,3,28-08-2020,User
242,13,59,53,29-08-2020,Seller
243,27,164,43,30-08-2020,Seller
244,33,192,38,31-08-2020,Seller
245,11,5,7,01-09-2020,User
246,20,89,2,02-09-2020,User
247,19,29,43,03-09-2020,Seller
248,10,123,99,04-09-2020,Seller
249,26,186,5,05-09-2020,User
250,2,26,17,06-09-2020,Seller
251,9,2,74,07-09-2020,Seller
252,10,44,2,08-09-2020,User
253,38,26,81,09-09-2020,Seller
254,7,107,54,10-09-2020,Seller
255,15,27,97,11-09-2020,Seller
256,11,113,48,12-09-2020,Seller
257,6,142,3,13-09-2020,User
258,23,84,69,14-09-2020,Seller
259,19,167,83,15-09-2020,Seller
260,28,31,3,16-09-2020,User
261,23,145,36,17-09-2020,Seller
262,18,133,3,18-09-2020,User
263,4,67,39,19-09-2020,Seller
264,38,159,68,20-09-2020,Seller
265,19,140,48,21-09-2020,Seller
266,35,93,8,22-09-2020,User
267,24,94,80,23-09-2020,Seller
268,27,148,3,24-09-2020,User
269,38,119,59,25-09-2020,Seller
270,12,46,87,26-09-2020,Seller
271,11,182,61,27-09-2020,Seller
272,10,105,1,28-09-2020,User
273,18,42,41,29-09-2020,Seller
274,21,77,9,30-09-2020,User
275,12,133,41,01-10-2020,Seller
276,17,59,3,02-10-2020,User
277,36,45,93,03-10-2020,Seller
278,12,169,75,04-10-2020,Seller
279,26,106,4,05-10-2020,User
280,13,192,40,06-10-2020,Seller
281,31,181,6,07-10-2020,User
282,14,92,85,08-10-2020,Seller
283,4,69,45,09-10-2020,Seller
284,24,92,3,10-10-2020,User
285,40,87,7,11-10-2020,User
286,38,101,74,12-10-2020,Seller
287,5,86,9,13-10-2020,User
288,20,177,56,14-10-2020,Seller
289,30,47,1,15-10-2020,User
290,28,56,50,16-10-2020,Seller
291,38,51,68,17-10-2020,Seller
292,32,2,78,18-10-2020,Seller
293,2,185,4,19-10-2020,User
294,26,41,7,20-10-2020,User
295,4,171,9,21-10-2020,User
296,26,52,5,22-10-2020,User
297,32,49,3,23-10-2020,User
298,22,99,62,24-10-2020,Seller
299,30,19,6,25-10-2020,User
300,4,135,8,26-10-2020,User
301,12,149,3,27-10-2020,User
302,23,97,4,28-10-2020,User
303,39,163,2,29-10-2020,User
304,40,62,7,30-10-2020,User
305,32,191,2,31-10-2020,User
306,16,107,7,01-11-2020,User
307,24,90,6,02-11-2020,User
308,38,193,1,03-11-2020,User
309,3,39,8,04-11-2020,User
310,5,198,33,05-11-2020,Seller
311,1,148,47,06-11-2020,Seller
312,31,21,2,07-11-2020,User
313,10,142,1,08-11-2020,User
314,37,140,13,09-11-2020,Seller
315,31,117,9,10-11-2020,User
316,17,107,4,11-11-2020,User
317,4,48,59,12-11-2020,Seller
318,24,63,11,13-11-2020,Seller
319,40,97,18,14-11-2020,Seller
320,19,100,7,15-11-2020,User
321,18,32,2,16-11-2020,User
322,21,24,39,17-11-2020,Seller
323,6,159,1,18-11-2020,User
324,30,13,1,19-11-2020,User
325,28,185,4,20-11-2020,User
326,25,93,9,21-11-2020,User
327,23,139,7,22-11-2020,User
328,14,194,28,23-11-2020,Seller
329,22,170,66,24-11-2020,Seller
330,35,169,43,25-11-2020,Seller
331,39,52,18,26-11-2020,Seller
332,19,58,88,27-11-2020,Seller
333,28,133,28,28-11-2020,Seller
334,4,36,69,29-11-2020,Seller
335,25,77,49,30-11-2020,Seller
336,34,124,34,01-12-2020,Seller
337,24,77,1,02-12-2020,User
338,8,177,59,03-12-2020,Seller
339,37,153,2,04-12-2020,User
340,16,55,3,05-12-2020,User
341,1,146,98,06-12-2020,Seller
342,32,42,25,07-12-2020,Seller
343,15,19,49,08-12-2020,Seller
344,34,154,80,09-12-2020,Seller
345,22,108,2,10-12-2020,User
346,20,108,18,11-12-2020,Seller
347,16,56,2,12-12-2020,User
348,19,17,17,13-12-2020,Seller
349,8,144,30,14-12-2020,Seller
350,34,150,9,15-12-2020,User
351,1,187,82,16-12-2020,Seller
352,15,39,5,17-12-2020,User
353,34,175,1,18-12-2020,User
354,28,145,8,19-12-2020,User
355,21,150,3,20-12-2020,User
356,24,90,1,21-12-2020,User
357,2,150,7,22-12-2020,User
358,13,182,9,23-12-2020,User
359,30,103,6,24-12-2020,User
360,18,91,67,25-12-2020,Seller
361,1,112,4,26-12-2020,User
362,4,198,6,27-12-2020,User
363,8,174,37,28-12-2020,Seller
364,39,83,1,29-12-2020,User
365,14,38,4,30-12-2020,User
366,27,14,1,31-12-2020,User
381,24,19,41,31-12-2020,Seller
483,4,114,4,31-12-2020,User
1326,3,61,2,31-12-2020,User
1326,3,61,2,31-12-2020,User
1468,28,4,74,31-12-2020,Seller
1468,28,4,74,31-12-2020,Seller
1543,11,29,3,31-12-2020,User
1543,11,29,3,31-12-2020,User
2297,21,27,1,31-12-2020,User
2297,21,27,1,31-12-2020,User
2376,11,198,2,31-12-2020,User
2376,11,198,2,31-12-2020,User
2407,33,162,95,31-12-2020,Seller
2407,33,162,95,31-12-2020,Seller
3363,7,77,71,31-12-2020,Seller
3363,7,77,71,31-12-2020,Seller
3994,27,2,3,31-12-2020,User
3994,27,2,3,31-12-2020,User
4001,7,145,4,31-12-2020,User
4001,7,145,4,31-12-2020,User
4036,18,75,3,31-12-2020,User
4036,18,75,3,31-12-2020,User
4227,5,170,2,31-12-2020,User
4227,5,170,2,31-12-2020,User
4834,34,78,1,31-12-2020,User
4842,23,141,1,31-12-2020,User
5141,6,92,8,31-12-2020,Seller
5174,2,91,66,31-12-2020,Seller
5235,5,130,2,31-12-2020,User
5507,25,68,4,31-12-2020,User
5533,33,108,3,31-12-2020,User
5863,37,117,2,31-12-2020,User
6054,30,59,89,31-12-2020,Seller
6670,17,59,1,31-12-2020,User
6849,20,184,43,31-12-2020,Seller
7335,32,153,49,31-12-2020,Seller
7721,4,34,2,31-12-2020,User
7812,38,40,21,31-12-2020,Seller
7845,1,47,7,31-12-2020,Seller
7919,21,110,2,31-12-2020,User
8267,8,193,48,31-12-2020,Seller
9416,1,167,1,31-12-2020,User
9459,13,179,44,31-12-2020,Seller
9767,5,145,1,31-12-2020,User
367,10,82,9,01-01-2021,User
376,38,75,70,01-01-2021,Seller
1244,31,53,3,01-01-2021,User
1244,31,53,3,01-01-2021,User
1652,38,71,4,01-01-2021,User
1652,38,71,4,01-01-2021,User
1762,35,181,3,01-01-2021,User
1762,35,181,3,01-01-2021,User
1823,31,132,1,01-01-2021,User
1823,31,132,1,01-01-2021,User
2517,19,81,3,01-01-2021,User
2517,19,81,3,01-01-2021,User
3762,7,144,1,01-01-2021,User
3762,7,144,1,01-01-2021,User
3795,36,19,1,01-01-2021,User
3795,36,19,1,01-01-2021,User
3941,13,17,3,01-01-2021,User
3941,13,17,3,01-01-2021,User
4395,26,69,87,01-01-2021,Seller
4395,26,69,87,01-01-2021,Seller
5306,9,20,4,01-01-2021,User
5311,9,168,2,01-01-2021,User
6157,12,6,74,01-01-2021,Seller
6324,2,106,2,01-01-2021,User
6332,27,9,1,01-01-2021,User
7040,9,78,4,01-01-2021,User
7296,36,200,1,01-01-2021,User
7396,3,150,3,01-01-2021,User
7452,32,48,2,01-01-2021,User
7637,10,48,1,01-01-2021,User
7684,27,44,2,01-01-2021,User
8106,29,159,1,01-01-2021,User
8126,2,68,1,01-01-2021,User
8460,8,198,42,01-01-2021,Seller
8665,31,162,3,01-01-2021,User
8881,31,101,2,01-01-2021,User
9012,30,55,2,01-01-2021,User
368,35,18,5,02-01-2021,User
1015,18,41,1,02-01-2021,User
1015,18,41,1,02-01-2021,User
1475,35,87,3,02-01-2021,User
1475,35,87,3,02-01-2021,User
1710,17,145,1,02-01-2021,User
1710,17,145,1,02-01-2021,User
2042,13,93,87,02-01-2021,Seller
2042,13,93,87,02-01-2021,Seller
2780,14,97,2,02-01-2021,User
2780,14,97,2,02-01-2021,User
4017,1,62,29,02-01-2021,Seller
4017,1,62,29,02-01-2021,Seller
4721,23,99,61,02-01-2021,Seller
4721,23,99,61,02-01-2021,Seller
5089,1,195,4,02-01-2021,User
5148,31,73,68,02-01-2021,Seller
6415,15,118,2,02-01-2021,User
6480,40,3,2,02-01-2021,User
6569,23,197,3,02-01-2021,User
6759,35,70,2,02-01-2021,User
7160,6,108,32,02-01-2021,Seller
7191,10,119,3,02-01-2021,User
7596,28,193,42,02-01-2021,Seller
7813,40,35,51,02-01-2021,Seller
7864,31,17,86,02-01-2021,Seller
8001,31,126,2,02-01-2021,User
8013,2,155,56,02-01-2021,Seller
8508,38,57,98,02-01-2021,Seller
8703,16,72,77,02-01-2021,Seller
8894,21,104,89,02-01-2021,Seller
9214,36,63,1,02-01-2021,User
9663,1,26,2,02-01-2021,User
9827,29,173,1,02-01-2021,User
9995,23,11,4,02-01-2021,User
200,37,47,1,03-01-2021,User
369,8,175,24,03-01-2021,Seller
531,27,42,4,03-01-2021,User
680,2,123,4,03-01-2021,User
1352,29,146,21,03-01-2021,Seller
1352,29,146,21,03-01-2021,Seller
1571,22,106,11,03-01-2021,Seller
1571,22,106,11,03-01-2021,Seller
1609,4,31,4,03-01-2021,User
1609,4,31,4,03-01-2021,User
1621,16,102,68,03-01-2021,Seller
1621,16,102,68,03-01-2021,Seller
2972,13,22,1,03-01-2021,User
2972,13,22,1,03-01-2021,User
3102,15,41,2,03-01-2021,User
3102,15,41,2,03-01-2021,User
3483,7,97,4,03-01-2021,User
3483,7,97,4,03-01-2021,User
3692,4,40,85,03-01-2021,Seller
3692,4,40,85,03-01-2021,Seller
3913,36,153,1,03-01-2021,User
3913,36,153,1,03-01-2021,User
4042,26,28,2,03-01-2021,User
4042,26,28,2,03-01-2021,User
4171,22,118,1,03-01-2021,User
4171,22,118,1,03-01-2021,User
4286,26,15,4,03-01-2021,User
4286,26,15,4,03-01-2021,User
5453,35,200,3,03-01-2021,User
7406,23,129,3,03-01-2021,User
7790,11,67,16,03-01-2021,Seller
8310,15,106,16,03-01-2021,Seller
8464,29,32,84,03-01-2021,Seller
8982,12,168,1,03-01-2021,User
9127,20,100,1,03-01-2021,User
9144,5,48,1,03-01-2021,User
9257,3,176,54,03-01-2021,Seller
9847,19,140,2,03-01-2021,User
9877,13,49,3,03-01-2021,User
9925,25,16,55,03-01-2021,Seller
38,23,165,4,04-01-2021,User
370,27,185,9,04-01-2021,User
696,30,92,25,04-01-2021,Seller
781,9,15,3,04-01-2021,User
1261,37,142,32,04-01-2021,Seller
1261,37,142,32,04-01-2021,Seller
1722,31,35,2,04-01-2021,User
1722,31,35,2,04-01-2021,User
2060,7,167,4,04-01-2021,User
2060,7,167,4,04-01-2021,User
2617,11,136,2,04-01-2021,User
2617,11,136,2,04-01-2021,User
2776,22,132,3,04-01-2021,User
2776,22,132,3,04-01-2021,User
3729,25,31,4,04-01-2021,User
3729,25,31,4,04-01-2021,User
3737,10,113,3,04-01-2021,User
3737,10,113,3,04-01-2021,User
3894,26,43,3,04-01-2021,User
3894,26,43,3,04-01-2021,User
4156,11,71,3,04-01-2021,User
4156,11,71,3,04-01-2021,User
5140,36,33,3,04-01-2021,User
5669,12,128,26,04-01-2021,Seller
5829,39,71,1,04-01-2021,User
5914,22,161,48,04-01-2021,Seller
5920,15,52,2,04-01-2021,User
6513,12,195,42,04-01-2021,Seller
6650,16,28,44,04-01-2021,Seller
7921,32,70,1,04-01-2021,User
8388,28,13,2,04-01-2021,User
8656,39,163,82,04-01-2021,Seller
8795,5,133,4,04-01-2021,User
8805,27,145,1,04-01-2021,User
8824,34,86,4,04-01-2021,User
9039,12,137,2,04-01-2021,User
9121,38,88,1,04-01-2021,User
9150,40,40,33,04-01-2021,Seller
9550,37,73,3,04-01-2021,User
9753,38,92,2,04-01-2021,User
9801,7,23,36,04-01-2021,Seller
371,17,37,77,05-01-2021,Seller
499,28,75,2,05-01-2021,User
897,19,199,61,05-01-2021,Seller
972,32,145,2,05-01-2021,User
997,30,192,15,05-01-2021,Seller
1030,24,104,4,05-01-2021,User
1030,24,104,4,05-01-2021,User
1305,25,9,77,05-01-2021,Seller
1305,25,9,77,05-01-2021,Seller
1678,10,135,46,05-01-2021,Seller
1678,10,135,46,05-01-2021,Seller
1871,39,131,3,05-01-2021,User
1871,39,131,3,05-01-2021,User
2274,23,137,4,05-01-2021,User
2274,23,137,4,05-01-2021,User
2470,6,183,91,05-01-2021,Seller
2470,6,183,91,05-01-2021,Seller
3131,6,95,52,05-01-2021,Seller
3131,6,95,52,05-01-2021,Seller
3275,17,145,54,05-01-2021,Seller
3275,17,145,54,05-01-2021,Seller
4094,8,97,1,05-01-2021,User
4094,8,97,1,05-01-2021,User
4169,15,146,4,05-01-2021,User
4169,15,146,4,05-01-2021,User
4297,5,169,4,05-01-2021,User
4297,5,169,4,05-01-2021,User
4358,39,80,2,05-01-2021,User
4358,39,80,2,05-01-2021,User
4414,32,154,4,05-01-2021,User
4414,32,154,4,05-01-2021,User
4841,37,166,1,05-01-2021,User
5853,22,101,3,05-01-2021,User
6271,27,49,3,05-01-2021,User
6675,24,113,4,05-01-2021,User
7892,4,120,3,05-01-2021,User
8277,32,163,4,05-01-2021,User
8564,24,15,1,05-01-2021,User
9073,28,139,4,05-01-2021,User
9435,6,28,57,05-01-2021,Seller
9473,11,10,4,05-01-2021,User
9569,27,8,87,05-01-2021,Seller
9582,28,101,2,05-01-2021,User
6,31,86,1,06-01-2021,User
22,11,66,1,06-01-2021,User
118,9,11,1,06-01-2021,User
272,1,43,2,06-01-2021,User
372,28,186,1,06-01-2021,User
574,5,134,28,06-01-2021,Seller
658,27,28,2,06-01-2021,User
677,9,81,4,06-01-2021,User
1277,35,154,79,06-01-2021,Seller
1277,35,154,79,06-01-2021,Seller
1312,34,27,4,06-01-2021,User
1312,34,27,4,06-01-2021,User
1487,13,41,36,06-01-2021,Seller
1487,13,41,36,06-01-2021,Seller
1626,7,97,3,06-01-2021,User
1626,7,97,3,06-01-2021,User
1748,24,76,4,06-01-2021,User
1748,24,76,4,06-01-2021,User
1922,28,102,3,06-01-2021,User
1922,28,102,3,06-01-2021,User
2030,13,142,3,06-01-2021,User
2030,13,142,3,06-01-2021,User
2111,38,160,2,06-01-2021,User
2111,38,160,2,06-01-2021,User
2303,6,6,2,06-01-2021,User
2303,6,6,2,06-01-2021,User
2365,4,76,38,06-01-2021,Seller
2365,4,76,38,06-01-2021,Seller
3037,38,7,3,06-01-2021,User
3037,38,7,3,06-01-2021,User
3254,30,69,72,06-01-2021,Seller
3254,30,69,72,06-01-2021,Seller
3690,11,139,4,06-01-2021,User
3690,11,139,4,06-01-2021,User
4685,14,140,2,06-01-2021,User
4685,14,140,2,06-01-2021,User
6199,8,173,4,06-01-2021,User
6562,2,106,3,06-01-2021,User
6791,21,111,4,06-01-2021,User
7080,32,1,3,06-01-2021,User
7155,3,155,59,06-01-2021,Seller
7387,9,178,1,06-01-2021,User
7685,18,151,1,06-01-2021,User
9432,30,44,4,06-01-2021,User
373,31,124,83,07-01-2021,Seller
951,11,145,89,07-01-2021,Seller
1824,21,63,3,07-01-2021,User
1824,21,63,3,07-01-2021,User
2207,1,79,1,07-01-2021,User
2207,1,79,1,07-01-2021,User
2243,18,121,5,07-01-2021,Seller
2243,18,121,5,07-01-2021,Seller
2457,25,107,3,07-01-2021,User
2457,25,107,3,07-01-2021,User
2486,19,55,3,07-01-2021,User
2486,19,55,3,07-01-2021,User
2622,29,79,3,07-01-2021,User
2622,29,79,3,07-01-2021,User
4089,17,82,1,07-01-2021,User
4089,17,82,1,07-01-2021,User
4482,32,90,10,07-01-2021,Seller
4482,32,90,10,07-01-2021,Seller
5459,37,145,4,07-01-2021,User
5644,24,89,3,07-01-2021,User
5725,28,139,1,07-01-2021,User
5797,30,44,3,07-01-2021,User
5980,26,82,4,07-01-2021,User
6380,2,3,4,07-01-2021,User
6621,16,10,73,07-01-2021,Seller
6638,6,132,4,07-01-2021,User
6660,29,197,2,07-01-2021,User
7421,23,68,3,07-01-2021,User
7758,39,48,2,07-01-2021,User
8880,10,180,1,07-01-2021,User
9954,27,174,4,07-01-2021,User
320,9,2,4,08-01-2021,User
374,26,141,7,08-01-2021,User
757,20,109,3,08-01-2021,User
2206,27,36,1,08-01-2021,User
2206,27,36,1,08-01-2021,User
2214,35,17,3,08-01-2021,User
2214,35,17,3,08-01-2021,User
2710,24,128,21,08-01-2021,Seller
2710,24,128,21,08-01-2021,Seller
3116,29,167,3,08-01-2021,User
3116,29,167,3,08-01-2021,User
3590,23,131,1,08-01-2021,User
3590,23,131,1,08-01-2021,User
3596,39,125,24,08-01-2021,Seller
3596,39,125,24,08-01-2021,Seller
3768,18,163,4,08-01-2021,User
3768,18,163,4,08-01-2021,User
4399,2,38,85,08-01-2021,Seller
4399,2,38,85,08-01-2021,Seller
4648,30,166,1,08-01-2021,User
4648,30,166,1,08-01-2021,User
6095,26,185,2,08-01-2021,User
6243,2,1,53,08-01-2021,Seller
6538,25,130,3,08-01-2021,User
6615,16,73,56,08-01-2021,Seller
6778,33,65,4,08-01-2021,User
6865,23,179,2,08-01-2021,User
7639,18,61,1,08-01-2021,User
7902,11,97,1,08-01-2021,User
8496,21,13,21,08-01-2021,Seller
8682,23,166,4,08-01-2021,User
8916,21,170,8,08-01-2021,Seller
9467,20,39,4,08-01-2021,User
9805,18,194,1,08-01-2021,User
19,1,57,4,09-01-2021,User
134,13,93,4,09-01-2021,User
318,11,22,3,09-01-2021,User
375,31,179,77,09-01-2021,Seller
553,29,30,53,09-01-2021,Seller
667,29,80,32,09-01-2021,Seller
841,33,14,88,09-01-2021,Seller
935,37,67,75,09-01-2021,Seller
1115,35,191,89,09-01-2021,Seller
1115,35,191,89,09-01-2021,Seller
1256,27,47,1,09-01-2021,User
1256,27,47,1,09-01-2021,User
1364,15,91,3,09-01-2021,User
1364,15,91,3,09-01-2021,User
2045,21,158,62,09-01-2021,Seller
2045,21,158,62,09-01-2021,Seller
2079,37,128,3,09-01-2021,User
2079,37,128,3,09-01-2021,User
2190,3,61,2,09-01-2021,User
2190,3,61,2,09-01-2021,User
3000,23,132,2,09-01-2021,User
3000,23,132,2,09-01-2021,User
3126,6,68,3,09-01-2021,User
3126,6,68,3,09-01-2021,User
3510,7,200,1,09-01-2021,User
3510,7,200,1,09-01-2021,User
3597,36,74,68,09-01-2021,Seller
3597,36,74,68,09-01-2021,Seller
4082,19,179,2,09-01-2021,User
4082,19,179,2,09-01-2021,User
4351,25,9,2,09-01-2021,User
4351,25,9,2,09-01-2021,User
4713,32,48,3,09-01-2021,User
4713,32,48,3,09-01-2021,User
4956,19,94,1,09-01-2021,User
5599,33,122,1,09-01-2021,User
6176,28,195,1,09-01-2021,User
6462,40,23,1,09-01-2021,User
6793,18,109,2,09-01-2021,User
6846,9,63,2,09-01-2021,User
7004,40,85,1,09-01-2021,User
7369,23,56,4,09-01-2021,User
7471,21,121,2,09-01-2021,User
7638,34,32,1,09-01-2021,User
8074,5,132,11,09-01-2021,Seller
8605,36,181,2,09-01-2021,User
8919,1,178,37,09-01-2021,Seller
